Title,Link 
Mozilla Lifeboatmozillalifeboat.com,vote?id=24135032&how=up&goto=news 
Rob Pike's 5 Rules of Programmingutexas.edu,vote?id=24135189&how=up&goto=news 
Raise Less Moneyaaronkharris.com,vote?id=24133146&how=up&goto=news 
No net insect abundance and diversity declines across USnature.com,vote?id=24133315&how=up&goto=news 
Launch HN: Papercups (YC S20) – Open-Core Intercom Alternative,vote?id=24133719&how=up&goto=news 
70% of surveyed Americans say they can't do their job without internetdecisiondata.org,vote?id=24133455&how=up&goto=news 
Where Missing Middle Housing Isn't Missingstrongtowns.org,vote?id=24135153&how=up&goto=news 
Timescale Cloud: Multi-cloud, fully-managed time-series in AWS, Azure, and GCPtimescale.com,vote?id=24132602&how=up&goto=news 
Joan Feynman has diedaps.org,vote?id=24129698&how=up&goto=news 
How Are Postmaster General Louis DeJoy's Changes Affecting Workers?npr.org,vote?id=24135668&how=up&goto=news 
Sumner Redstone, media mogul who headed Viacom, has diedreuters.com,vote?id=24135160&how=up&goto=news 
AWS Tagging Best Practicescloudforecast.io,vote?id=24132528&how=up&goto=news 
Veteran Submariner on How Sonar Crews Tirelessly Hunt Enemies They Can't Seethedrive.com,vote?id=24133285&how=up&goto=news 
Content moderation at scale is impossible to do well (2019)techdirt.com,vote?id=24135667&how=up&goto=news 
Show HN: Kinopio.club – visual thinking, brainstorming toolkinopio.club,vote?id=24132631&how=up&goto=news 
Why Are Currently No Ads on Techdirt? Apparently Google Thinks We're Dangeroustechdirt.com,vote?id=24134195&how=up&goto=news 
Bertrand Russell's argument for idleness is more relevant than evernewstatesman.com,vote?id=24128366&how=up&goto=news 
Atlas: End-to-End 3D Scene Reconstruction from Posed Imagesgithub.com,vote?id=24131290&how=up&goto=news 
Uber CEO says its service will probably shut down temporarily in Californiacnbc.com,vote?id=24132722&how=up&goto=news 
The Musk Ox and Menewyorker.com,vote?id=24128972&how=up&goto=news 
Unraveling the Mindset of Victimhoodscientificamerican.com,vote?id=24133476&how=up&goto=news 
Dishwashing detergent hack: Two ingredientswhatlisacooks.com,vote?id=24135619&how=up&goto=news 
China hires over 100 TSMC engineers in push for chip leadershipnikkei.com,vote?id=24129861&how=up&goto=news 
Show HN: dstack – an open-source tool to build data applications easily,vote?id=24131723&how=up&goto=news 
Meet YC founders at YC's first Lightning Tech Talk & Happy Hour on Sept 10thworkatastartup.com,https://www.workatastartup.com/techtalk 
Labor of Division (2010)ridiculousfish.com,vote?id=24128730&how=up&goto=news 
Amazon’s business model meets Sweden’s labor unionspolitico.eu,vote?id=24129279&how=up&goto=news 
UC Santa Cruz Reinstates 41 Graduate Students After Months-Long Strikevice.com,vote?id=24134652&how=up&goto=news 
What killed Quayside, Sidewalk Labs’ ambitious smart city in Toronto?onezero.medium.com,vote?id=24132408&how=up&goto=news 
Show HN: Jet – in-memory, fault-tolerant, distributed stream processinggithub.com,vote?id=24119113&how=up&goto=news 
